year,season,month,weekday,hour,holiday,workingday,weather,temp,temp_felt,hum,windspeed,casual,registered,total
2011,spr,jun,wed,9,no,yes,1,21,25,0.49,0,22,185,207
2011,sum,aug,thu,7,no,yes,1,24,25,0.54,9,15,292,307
2011,sum,jul,sun,11,no,no,1,34,33,0.28,11,112,163,275
2012,sum,jul,sun,4,no,no,1,23,24,0.69,13,2,11,13
2011,aut,sep,tue,11,no,yes,2,24,23,0.89,7,26,97,123
2011,sum,aug,wed,1,no,yes,1,21,23,0.69,0,2,13,15
2011,win,jan,mon,4,no,yes,1,-7,-12,0.48,9,0,1,1
2011,aut,oct,fri,11,no,yes,1,10,7,0.5,15,40,128,168
2011,aut,dec,fri,10,no,yes,1,9,4,0.46,20,10,122,132
2012,win,feb,sat,1,no,no,1,8,5,0.49,11,7,38,45
2012,sum,sep,fri,22,no,yes,1,21,23,0.73,13,47,248,295
2011,spr,may,sat,14,no,no,1,27,27,0.42,0,187,269,456
2012,win,feb,tue,11,no,yes,1,9,5,0.36,17,8,155,163
2011,sum,jun,wed,19,no,yes,2,31,33,0.52,17,62,280,342
2011,aut,nov,tue,10,no,yes,2,19,19,0.64,19,23,115,138
2012,win,feb,tue,6,no,yes,1,7,2,0.45,22,1,100,101
2011,sum,aug,wed,4,no,yes,1,19,19,0.73,0,0,5,5
2012,win,mar,wed,3,no,yes,1,16,15,0.72,13,1,3,4
2012,win,feb,wed,13,no,yes,1,13,12,0.54,20,15,175,190
2011,spr,jun,sat,19,no,no,1,26,27,0.65,13,97,167,264
2012,spr,jun,thu,17,no,yes,1,27,27,0.34,17,91,778,869
2012,spr,apr,tue,3,no,yes,1,8,4,0.81,15,0,2,2
2012,win,mar,tue,4,no,yes,2,17,17,0.88,9,0,6,6
2012,win,feb,fri,19,no,yes,1,11,10,0.37,15,16,266,282
2012,spr,jun,mon,22,no,yes,2,22,23,0.73,11,21,143,164
2012,aut,nov,fri,9,no,yes,1,9,7,0.53,7,27,355,382
2012,spr,may,wed,19,no,yes,2,22,22,0.83,11,40,336,376
2011,spr,jun,wed,8,no,yes,1,20,20,0.53,9,53,445,498
2011,spr,may,fri,14,no,yes,1,29,30,0.55,17,51,188,239
2012,win,feb,sun,6,no,no,1,-3,-11,0.49,26,0,2,2
2011,spr,mar,wed,18,no,yes,3,11,10,0.82,17,20,218,238
2011,aut,nov,mon,10,no,yes,2,16,15,0.77,9,21,86,107
2012,spr,mar,fri,0,no,yes,1,19,19,0.83,0,30,65,95
2011,aut,nov,wed,20,no,yes,1,12,11,0.66,9,5,177,182
2012,sum,jul,sun,0,no,no,1,29,32,0.66,0,27,122,149
2012,aut,nov,wed,11,no,yes,1,12,11,0.5,13,43,198,241
2011,sum,sep,fri,22,no,yes,1,16,15,0.67,6,32,135,167
2011,sum,jul,thu,17,no,yes,1,28,27,0.37,9,78,517,595
2012,spr,apr,fri,9,no,yes,1,13,12,0.41,11,36,294,330
2012,win,feb,thu,5,no,yes,2,7,6,0.7,0,0,20,20
2011,spr,apr,wed,20,no,yes,1,14,13,0.62,17,7,119,126
2012,aut,oct,wed,10,no,yes,2,18,18,0.73,0,29,142,171
2012,sum,jul,tue,0,no,yes,1,27,28,0.54,0,9,44,53
2012,aut,dec,tue,7,no,yes,1,13,12,0.88,9,7,495,502
2011,aut,nov,sat,13,no,no,1,12,11,0.37,7,148,207,355
2011,spr,mar,mon,11,no,yes,2,13,12,0.71,20,32,47,79
2011,spr,jun,sun,5,no,no,1,22,21,0.88,15,5,5,10
2011,aut,oct,tue,5,no,yes,2,15,14,0.88,0,2,19,21
2012,win,feb,1,16,no,yes,1,10,7,0.23,13,5,206,211
2012,aut,nov,fri,16,no,yes,1,15,14,0.38,11,57,377,434
2011,win,feb,sun,18,no,no,1,12,11,0.32,20,17,78,95
2011,sum,aug,fri,23,no,yes,1,25,26,0.51,0,51,100,151
2012,aut,oct,tue,12,no,yes,2,16,15,0.69,13,43,217,260
2011,sum,sep,thu,1,no,yes,2,21,18,0.94,6,5,6,11
2011,sum,sep,thu,0,no,yes,1,21,18,0.94,7,11,30,41
2012,spr,may,tue,19,no,yes,1,24,25,0.69,11,57,455,512
2012,aut,nov,sat,22,no,no,1,8,6,0.57,7,13,133,146
2012,aut,dec,fri,7,no,yes,3,6,2,0.81,11,3,212,215
2011,win,feb,mon,9,no,yes,1,12,11,0.37,26,8,122,130
2011,sum,jul,tue,7,no,yes,1,29,30,0.55,13,29,301,330
2012,sum,jul,mon,9,no,yes,2,24,24,0.83,11,38,325,363
2011,sum,jun,sat,19,no,no,1,27,28,0.48,19,121,254,375
2011,spr,apr,wed,3,no,yes,3,12,11,0.94,22,0,2,2
2011,spr,mar,fri,14,no,yes,1,10,6,0.32,22,30,103,133
2012,sum,jul,thu,11,no,yes,1,36,38,0.35,20,107,137,244
2012,aut,nov,tue,17,no,yes,1,9,4,0.49,24,33,575,608
2011,aut,nov,wed,0,no,yes,1,10,6,0.62,28,1,23,24
2012,sum,aug,tue,2,no,yes,2,25,26,0.83,13,2,9,11
2011,win,jan,sat,20,no,no,1,-2,-8,0.36,17,0,28,28
2011,sum,sep,mon,21,no,yes,2,19,19,0.68,11,19,181,200
2012,spr,jun,sun,3,no,no,1,17,17,0.63,7,16,34,50
2011,sum,jul,sat,11,no,no,1,31,31,0.36,6,144,213,357
2011,aut,oct,thu,0,no,yes,1,15,14,0.94,0,3,23,26
2011,aut,dec,mon,1,no,yes,1,8,7,0.87,0,2,10,12
2012,aut,nov,sat,14,no,no,1,8,3,0.33,31,58,149,207
2012,spr,jun,sun,2,no,no,1,17,17,0.59,7,22,67,89
2011,sum,jul,thu,10,no,yes,2,32,41,0.71,15,31,47,78
2012,aut,sep,mon,23,no,yes,1,15,14,0.63,9,11,83,94
2011,spr,apr,fri,7,no,yes,3,4,0,0.93,0,4,91,95
2012,sum,sep,fri,8,no,yes,1,24,24,0.83,7,29,690,719
2011,sum,jul,fri,17,no,yes,1,28,28,0.42,17,104,483,587
2011,aut,nov,tue,23,no,yes,1,9,8,0.87,0,11,61,72
2011,spr,jun,wed,21,no,yes,1,23,25,0.47,15,48,209,257
2012,spr,apr,sat,12,no,no,1,15,14,0.23,26,320,270,590
2011,spr,may,mon,23,no,yes,1,19,19,0.88,6,18,39,57
2012,sum,jul,tue,5,no,yes,1,25,26,0.74,6,7,31,38
2012,aut,oct,sun,11,no,no,2,13,12,0.71,7,76,260,336
2012,sum,jul,fri,21,no,yes,1,32,35,0.52,9,77,223,300
2011,spr,may,mon,11,no,yes,1,25,26,0.69,26,73,107,180
2012,aut,nov,tue,21,no,yes,2,7,3,0.56,17,14,137,151
2012,sum,aug,fri,21,no,yes,2,29,32,0.66,13,54,224,278
2012,spr,apr,thu,3,no,yes,2,13,12,0.77,0,1,3,4
2011,spr,may,fri,12,no,yes,1,19,19,0.49,24,48,198,246
2011,sum,jun,thu,4,no,yes,2,26,28,0.79,9,0,7,7
2012,win,jan,sun,13,no,no,1,12,11,0.37,20,77,266,343
2012,sum,sep,sat,16,no,no,2,33,36,0.49,11,209,253,462
2012,aut,sep,thu,20,no,yes,2,23,24,0.69,15,45,412,457
2012,sum,jul,sun,8,no,no,1,30,33,0.62,7,36,106,142
2011,sum,aug,wed,15,no,yes,2,26,28,0.79,9,31,87,118
2011,aut,dec,tue,2,no,yes,2,9,8,0.61,0,1,10,11
2011,win,feb,mon,8,yes,no,2,8,4,0.57,20,7,56,63
2012,aut,dec,sat,22,no,no,1,10,7,0.62,13,22,134,156
2012,sum,jun,sat,5,no,no,2,23,22,0.83,13,1,11,12
2012,win,mar,thu,11,no,yes,2,18,18,0.6,31,48,156,204
2011,win,dec,wed,7,no,yes,2,10,8,0.87,7,5,224,229
2011,aut,nov,sat,17,no,no,2,15,14,0.47,9,62,122,184
2012,spr,apr,sun,19,no,no,1,17,17,0.55,15,110,236,346
2012,spr,apr,mon,21,no,yes,2,17,17,0.59,13,26,195,221
2011,aut,oct,wed,6,no,yes,1,14,13,0.82,7,5,112,117
2011,aut,nov,wed,4,no,yes,3,17,17,0.88,24,0,5,5
2012,aut,dec,tue,22,no,yes,1,7,3,0.56,15,6,100,106
2012,spr,may,tue,7,no,yes,2,17,16,0.94,17,8,161,169
2012,sum,jul,sat,13,no,no,3,21,21,0.83,11,106,248,354
2012,spr,apr,fri,15,no,yes,1,17,16,0.27,19,218,319,537
2011,aut,nov,tue,17,no,yes,2,17,16,0.72,13,29,422,451
2012,spr,jun,tue,17,no,yes,2,24,23,0.89,19,56,625,681
2012,spr,may,sat,12,no,no,1,27,28,0.58,7,220,330,550
2011,win,mar,thu,21,no,yes,1,13,12,0.62,15,19,119,138
2012,aut,oct,sat,3,no,no,1,13,12,0.77,9,2,27,29
2011,spr,mar,tue,20,no,yes,1,10,8,0.21,6,13,119,132
2012,sum,jul,tue,0,no,yes,1,25,26,0.79,9,11,27,38
2011,aut,dec,sat,22,no,no,1,2,-2,0.75,11,7,73,80
2012,spr,apr,tue,19,no,yes,1,19,19,0.26,7,98,460,558
2012,spr,may,wed,5,no,yes,2,19,19,0.88,9,1,27,28
2011,aut,nov,sat,21,no,no,2,11,10,0.82,0,20,72,92
2011,sum,sep,sat,0,no,no,1,15,14,0.72,11,28,80,108
2012,win,jan,mon,12,yes,no,1,2,-4,0.55,22,20,165,185
2012,spr,apr,sat,14,no,no,1,26,26,0.45,19,278,331,609
2011,aut,dec,sun,9,no,no,1,2,1,0.59,0,19,88,107
2011,sum,jul,thu,3,no,yes,2,28,31,0.79,9,1,5,6
2012,spr,may,wed,2,no,yes,3,19,19,0.88,30,0,1,1
2012,spr,mar,fri,12,no,yes,2,11,10,0.54,0,62,208,270
2011,spr,may,thu,11,no,yes,1,20,20,0.6,15,43,136,179
2012,aut,nov,wed,9,no,yes,1,7,2,0.52,26,22,310,332
2011,spr,may,mon,2,no,yes,2,14,13,0.77,15,16,19,35
2012,spr,may,fri,12,no,yes,1,27,29,0.66,7,84,237,321
2011,sum,sep,sun,15,no,no,2,20,20,0.6,9,132,233,365
2012,sum,aug,wed,9,no,yes,2,27,29,0.62,13,57,310,367
2012,spr,jun,sun,4,no,no,1,17,16,0.72,6,1,12,13
2012,sum,aug,wed,0,no,yes,1,78.8,27,0.61,13,8,52,60
2012,sum,jul,sun,18,no,no,1,30,33,0.62,7,54,199,253
2011,win,jan,sun,20,no,no,2,5,2,0.65,7,3,30,33
2012,aut,nov,sun,15,no,no,1,12,11,0.4,15,149,300,449
2011,win,dec,sat,11,no,no,1,8,3,0.39,24,9,62,71
2012,aut,nov,mon,19,no,yes,2,12,11,0.58,19,25,381,406
2011,sum,aug,wed,17,no,yes,1,27,27,0.45,9,83,525,608
2011,aut,oct,sat,7,no,no,3,5,-1,0.87,24,1,6,7
2012,spr,mar,sat,1,no,no,2,12,11,0.76,13,17,65,82
2012,aut,oct,sun,18,no,no,3,12,11,0.82,13,24,82,106
2012,aut,dec,sat,4,no,no,2,10,9,0.93,0,3,9,12
2011,spr,apr,sat,17,no,no,3,17,16,0.88,39,1,14,15
2011,win,feb,sun,0,no,no,1,5,1,0.7,13,2,37,39
2011,sum,sep,tue,1,no,yes,1,20,20,0.83,7,4,6,10
2012,spr,apr,sun,8,no,no,3,12,11,0.82,17,8,43,51
2011,spr,may,tue,6,no,yes,3,17,17,0.94,17,0,49,49
2011,sum,jul,sat,7,no,no,1,24,24,0.78,13,21,50,71
2011,aut,oct,mon,15,no,yes,1,14,13,0.47,11,27,141,168
2012,spr,jun,tue,10,no,yes,1,23,24,0.73,6,44,136,180
2012,win,mar,mon,8,no,yes,1,9,6,0.61,9,17,547,564
2011,spr,apr,tue,18,no,yes,1,25,26,0.65,30,65,463,528
2012,spr,may,sun,10,no,no,1,25,26,0.74,17,209,215,424
2012,aut,oct,wed,19,no,yes,2,12,11,0.5,13,27,383,410
2012,sum,aug,tue,16,no,yes,1,29,28,0.37,0,109,358,467
2012,aut,oct,fri,20,no,yes,1,21,22,0.78,9,66,306,372
2011,win,mar,fri,7,no,yes,1,0,-4,0.8,9,0,83,83
2012,win,dec,mon,10,no,yes,2,5,4,0.65,0,21,82,103
2011,spr,may,thu,15,no,yes,1,19,19,0.26,33,27,120,147
2011,spr,apr,fri,23,yes,no,2,10,7,0.81,13,8,56,64
2011,spr,apr,sun,10,no,no,1,12,11,0.43,28,111,104,215
2011,win,mar,fri,8,no,yes,1,1,-3,0.74,9,6,222,228
2011,win,jan,mon,6,yes,no,2,1,-4,0.43,13,0,5,5
2012,aut,oct,wed,11,no,yes,1,18,18,0.52,13,53,238,291
2012,win,dec,wed,20,no,yes,3,8,4,0.93,17,0,32,32
2012,sum,sep,fri,3,no,yes,1,22,22,0.83,6,0,9,9
2011,win,feb,thu,5,no,yes,1,2,-2,0.69,9,1,3,4
2012,aut,oct,sun,19,no,no,3,13,12,0.94,24,7,47,54
2011,sum,aug,mon,19,no,yes,1,32,33,0.43,7,64,352,416
2011,sum,jul,sat,19,no,no,1,31,30,0.33,15,156,149,305
2011,sum,sep,tue,10,no,yes,3,19,19,0.88,11,4,26,30
2011,win,jan,mon,14,no,yes,1,5,0,0.3,19,11,66,77
2011,spr,apr,wed,4,no,yes,1,19,19,0.94,15,0,6,6
2012,sum,jun,tue,1,no,yes,1,21,25,0.35,26,11,19,30
2011,sum,jul,mon,18,no,yes,1,32,35,0.49,24,80,478,558
2011,spr,apr,tue,17,no,yes,3,14,13,0.77,15,29,262,291
2011,sum,aug,sun,4,no,no,1,25,26,0.83,15,1,5,
2012,aut,oct,sun,0,no,no,1,12,11,0.71,17,8,103,111
2011,spr,apr,sun,19,no,no,1,19,19,0.3,20,75,135,210
2012,sum,aug,sat,8,no,no,1,23,24,0.69,17,28,161,189
2012,sum,aug,thu,16,no,yes,1,34,35,0.39,17,97,320,417
2011,spr,mar,fri,19,no,yes,2,7,3,0.36,19,9,126,135
2012,spr,mar,wed,23,no,yes,1,18,18,0.77,0,37,88,125
2011,win,feb,tue,22,no,yes,1,-2,-9,0.33,24,0,29,29
2012,win,jan,tue,13,no,yes,1,13,12,0.38,20,15,163,178
2011,spr,may,fri,11,no,yes,2,17,17,0.83,11,56,90,146
2011,sum,aug,tue,8,no,yes,1,28,30,0.66,0,40,352,392
2011,win,mar,thu,11,no,yes,1,2,-1,0.29,6,10,40,50
2011,sum,aug,mon,18,no,yes,1,33,34,0.41,9,64,,529
2012,aut,dec,sat,13,no,no,2,9,8,0.76,0,123,386,509
2012,spr,apr,thu,21,no,yes,1,17,17,0.55,7,27,240,267
2012,win,mar,sun,19,no,no,1,17,16,0.31,19,55,203,258
2012,aut,dec,thu,7,no,yes,1,4,-1,0.6,15,5,380,385
2011,win,feb,mon,3,no,yes,1,9,5,0.46,15,1,1,2
2011,spr,apr,tue,3,no,yes,1,16,15,0.63,15,0,3,3
2012,spr,apr,mon,11,no,yes,1,17,17,0.27,28,96,127,223
2011,spr,jun,sun,7,no,no,1,23,73.4,0.78,7,7,27,34
2011,spr,mar,thu,20,no,yes,3,6,1,0.93,19,6,79,85
2012,spr,apr,sat,20,no,no,3,17,16,0.82,20,5,34,39
2011,aut,nov,thu,4,no,yes,1,8,6,0.81,6,1,3,4
2011,aut,dec,sun,16,no,no,1,13,12,0.58,15,64,266,330
2011,win,mar,mon,23,no,yes,1,8,7,0.53,0,2,17,19
2012,win,mar,sat,0,no,no,3,10,8,0.93,6,1,21,22
2012,spr,mar,fri,18,no,yes,1,13,12,0.54,13,68,492,560
2012,win,feb,thu,19,no,yes,1,11,10,0.43,35,16,311,327
2012,sum,aug,mon,2,no,yes,1,23,24,0.69,7,1,8,9
2012,win,jan,tue,11,no,yes,1,13,12,0.38,20,8,93,101
2012,sum,aug,sat,6,no,no,2,22,21,0.88,7,5,18,23
2012,spr,jun,wed,0,no,yes,2,24,23,0.94,13,7,27,34
2011,sum,aug,tue,23,no,yes,1,29,29,0.48,19,22,53,75
2012,sum,aug,thu,13,no,yes,1,31,30,0.31,15,81,219,300
2011,aut,oct,thu,15,no,yes,2,17,17,0.83,7,12,95,107
2011,win,feb,fri,3,no,yes,2,-1,-5,0.63,7,0,1,1
2012,aut,dec,sat,16,no,no,1,12,11,0.5,9,85,328,413
2012,sum,jul,sat,4,no,no,1,26,28,0.79,13,1,10,11
2012,sum,jul,sun,20,no,no,1,33,33,0.39,9,88,244,332
2012,sum,jul,tue,21,no,yes,1,25,26,0.79,13,60,292,352
2011,aut,oct,mon,21,no,yes,2,10,7,0.76,13,7,109,116
2012,sum,aug,mon,5,no,yes,1,23,24,0.69,7,3,33,36
2012,spr,jun,fri,2,no,yes,1,19,19,0.56,0,2,17,19
2012,aut,dec,thu,14,no,yes,1,10,7,0.34,11,31,211,242
2012,win,mar,sat,12,no,no,2,13,12,0.67,17,47,252,299
2012,win,dec,sat,12,no,no,1,7,1,0.36,44,18,128,146
2012,spr,jun,mon,20,no,yes,2,28,28,0.48,15,61,333,394
2011,sum,aug,mon,21,no,yes,1,24,25,0.65,13,34,150,184
2012,spr,jun,sun,23,no,no,1,20,20,0.53,7,26,82,108
2011,win,feb,wed,23,no,yes,3,0,-6,0.8,13,0,37,37
2011,win,feb,mon,11,yes,no,5,8,6,0.57,7,20,70,90
2012,sum,jul,tue,19,no,yes,3,26,28,0.74,15,55,359,414
2012,sum,jun,mon,22,no,yes,1,24,25,0.29,26,21,166,187
2011,aut,sep,fri,15,no,yes,1,23,25,0.5,19,52,193,245
2011,sum,aug,tue,15,no,yes,1,31,31,0.41,20,36,123,159
2011,spr,mar,wed,14,no,yes,2,10,6,0.46,20,16,64,80
2011,sum,jun,tue,12,no,yes,1,33,35,0.47,15,41,161,202
2011,win,jan,thu,6,no,yes,2,-1,-5,0.63,7,0,36,36
2012,sum,sep,wed,8,no,yes,1,17,17,0.59,15,39,758,797
2011,spr,may,sat,22,no,no,1,24,24,0.78,15,46,115,161
2011,win,jan,sun,0,no,no,2,15,14,0.88,20,4,13,17
2012,aut,oct,thu,19,no,yes,1,24,25,0.57,7,67,467,534
2012,sum,sep,wed,0,no,yes,1,17,17,0.72,7,8,41,49
2011,sum,jul,fri,7,no,yes,mist,28,31,0.79,6,26,228,254
2012,spr,may,wed,23,no,yes,2,17,16,0.77,17,21,77,98
2011,spr,may,tue,20,no,yes,1,30,33,0.62,7,38,213,251
2011,win,dec,sat,20,no,no,1,5,2,0.56,9,5,19,24
2012,aut,oct,tue,21,no,yes,2,16,15,0.77,9,16,209,225
2012,win,jan,sun,13,no,no,1,2,-4,0.34,19,40,184,224
2011,win,feb,sun,16,no,no,1,16,15,0.44,11,98,170,268
2012,spr,may,thu,0,no,yes,3,17,16,0.77,11,2,31,33
2011,aut,oct,fri,23,no,yes,3,7,2,0.81,22,8,31,39
2012,aut,nov,tue,0,no,yes,1,4,1,0.6,7,1,18,19
2011,sum,aug,mon,17,no,yes,2,26,26,0.47,15,67,524,591
2011,sum,aug,sun,17,no,no,3,28,31,0.74,43,63,131,194
2012,sum,sep,fri,21,no,yes,1,26,28,0.74,11,55,246,301
2012,sum,jul,sun,16,no,no,2,31,37,0.66,15,65,226,291
2012,aut,sep,fri,0,no,yes,3,21,20,0.88,11,2,15,17
2012,spr,apr,thu,0,no,yes,1,8,4,0.66,19,1,22,23
2012,win,feb,sun,15,no,no,2,7,3,0.56,17,55,217,272
2011,aut,oct,sun,17,no,no,3,10,7,0.87,11,32,135,167
2011,sum,jul,sat,0,no,no,1,22,24,0.65,13,42,68,110
2012,aut,sep,sun,8,no,no,1,16,15,0.55,24,38,137,175
2011,spr,may,mon,0,yes,no,1,23,21,0.94,13,38,65,103
2012,win,dec,sun,1,no,no,1,3,-1,0.47,13,1,19,20
2012,spr,apr,wed,21,no,yes,2,13,12,0.82,6,24,165,189
2012,aut,oct,thu,3,no,yes,2,22,21,0.88,0,5,6,11
2012,win,jan,wed,2,no,yes,1,6,2,0.7,13,3,3,6
2011,spr,jun,mon,21,no,yes,1,23,25,0.41,17,40,178,218
2012,sum,aug,thu,8,no,yes,1,27,30,0.74,7,28,670,698
2012,sum,sep,wed,15,no,yes,1,30,35,0.7,13,41,204,245
2011,win,feb,sat,11,no,no,1,7,6,0.45,0,26,100,126
2012,aut,oct,wed,9,no,yes,2,13,12,0.77,0,38,344,382
2011,win,mar,tue,20,no,yes,2,9,5,0.71,19,9,79,88
2012,spr,mar,mon,20,no,yes,1,12,11,0.26,35,12,209,221
201!,win,jan,sat,5,no,no,1,0,-1,0.59,0,0,1,1
2011,spr,apr,mon,12,no,yes,2,19,19,0.49,6,60,124,184
2011,sum,aug,thu,11,no,yes,2,28,30,0.66,15,37,112,149
2012,win,mar,tue,23,no,yes,1,6,2,0.61,15,3,51,54
2012,sum,aug,wed,6,no,yes,1,22,23,0.73,0,12,175,187
2012,aut,dec,thu,22,no,yes,1,4,0,0.65,11,2,131,133
2011,spr,may,sat,16,no,no,2,27,27,0.39,17,204,267,471
2012,spr,jun,sat,4,no,no,1,18,18,0.68,9,3,5,8
2011,spr,may,thu,11,no,yes,1,17,17,0.36,30,43,105,148
2012,win,jan,sat,6,no,no,1,-1,-6,0.5,0,0,5,5
2012,aut,nov,sun,1,no,no,1,7,3,0.7,13,14,81,95
2011,spr,apr,sun,19,no,no,3,21,21,0.83,19,62,132,194
2012,sum,jul,wed,9,yes,no,1,29,30,0.52,0,90,203,293
2011,aut,dec,sun,3,no,no,1,3,-2,0.55,15,2,16,18
2012,win,jan,thu,10,no,yes,1,-1,-2,0.59,0,10,98,108
2012,aut,oct,sat,21,no,no,2,17,17,0.72,15,49,160,209
2011,spr,may,fri,15,no,yes,1,21,25,0.38,26,89,171,260
2011,spr,jun,mon,23,no,yes,1,23,24,0.69,6,5,55,60
2011,win,mar,thu,4,no,yes,1,0,-8,0.31,33,0,1,1
2012,win,mar,mon,23,no,yes,2,19,19,0.78,9,9,45,54
2012,aut,nov,mon,2,no,yes,1,2,1,0.69,0,0,5,5
2012,spr,jun,sat,2,no,no,1,20,20,0.53,0,12,55,67
2011,sum,aug,fri,23,no,yes,1,25,26,0.69,15,37,102,139
2011,win,jan,sun,8,no,no,3,12,11,0.71,15,0,8,8
2012,win,feb,wed,9,no,yes,2,10,7,0.71,13,9,267,276
2011,aut,oct,tue,8,no,yes,2,19,19,0.83,7,31,375,406
2011,win,mar,tue,8,no,yes,1,3,-1,0.55,13,10,247,257
2012,sum,sep,tue,7,no,yes,2,25,26,0.89,7,13,480,493
2012,spr,mar,thu,19,no,yes,1,24,25,0.61,0,117,469,586
2011,sum,sep,tue,9,no,yes,2,18,18,0.81,28,18,167,185
2011,win,jan,mon,7,no,yes,1,-7,-8,0.48,0,5,79,84
2011,sum,sep,mon,14,yes,no,1,82.4,30,0.7,11,145,212,357
2012,spr,apr,fri,22,no,yes,1,12,11,0.35,15,34,124,158
2012,aut,oct,fri,18,no,yes,1,23,25,0.57,9,106,655,761
2011,aut,oct,sat,1,no,no,1,15,14,0.55,17,9,64,73
2011,sum,aug,mon,22,no,yes,1,23,25,0.38,20,32,121,153
2012,sum,jul,tue,17,no,yes,1,37,38,0.29,0,95,675,770
2011,sum,jul,fri,17,no,yes,1,35,40,0.47,7,35,271,306
2012,win,jan,fri,1,no,yes,1,5,2,0.48,9,0,15,15
2011,win,dec,sat,23,no,no,1,10,9,0.66,0,4,27,31
2012,spr,apr,thu,1,no,yes,2,16,15,0.48,6,1,22,23
2012,win,mar,fri,3,no,yes,1,8,5,0.57,13,0,3,3
2011,aut,nov,thu,22,no,yes,1,5,0,0.52,17,1,83,84
2011,spr,apr,wed,23,no,yes,2,22,21,0.88,24,25,53,78
2012,aut,oct,thu,11,no,yes,2,26,27,0.7,7,38,176,214
2011,sum,aug,fri,17,no,yes,1,28,31,0.74,17,56,433,489
2012,sum,aug,mon,4,no,yes,2,27,30,0.74,9,3,8,11
2011,win,feb,sat,4,no,no,1,-2,-5,0.74,6,0,4,4
2011,win,mar,tue,19,no,yes,1,7,4,0.49,9,4,115,119
2012,aut,sep,fri,5,no,yes,1,19,19,0.88,0,1,37,38
2012,aut,dec,tue,11,no,yes,2,10,6,0.53,24,28,145,173
2011,aut,oct,thu,8,no,yes,1,14,13,0.67,35,17,409,426
2012,sum,sep,tue,19,no,yes,2,21,20,0.88,20,22,302,324
2012,win,jan,mon,8,no,yes,1,2,-3,0.47,15,12,481,493
